tweet_id,retweet count,favorite count
1555315050654666760,15737,135852
1487164158638493697,91,3716
1487164152640593920,795,17749
1487133654551871488,0,217
1487131422443937794,163,0
1487126973323218948,654,12790
1487099230351097857,0,12
1486857339806240768,0,8
1486765750492622850,3,1104
1486758456878985216,1801,0
1486742444204969984,21143,201116
1554963988110200832,0,390
1486413077591506951,9,573
1486388190411771905,7,1654
1486356291761098757,1,192
1486159245754048513,5,1231
1486158012372766723,3732,50953
1486036354542747656,0,15
1486029799948759047,0,12
1486028418944843778,2,178
1486027686887702532,4,210
1486026258857086977,1264,27757
1554962334094745600,4907,67293
1485986959986200576,0,1
1485986075910750210,0,4
1485784697116319746,3290,56777
1485714572459888642,618,0
1485709202148397056,5,779
1485686068989071361,3,544
1485669814454534144,9,1348
1485669216271302656,11029,127541
1485659014902001665,0,4
1485657420105928711,0,4
1554869285352345600,0,282
1485308787900633089,14430,0
1484654956363665408,0,187
1484653330114752521,0,6
1484635953633316867,234,6835
1484635948809924617,1338,29707
1484591411974582272,0,115
1484586563174420482,693,12930
1484291345405468675,0,108
1484290572722401283,5667,85169
1484230499493203983,1,65
1554867095447474179,3,727
1484229933153071114,63,0
1484229423368921092,0,71
1484228849705656323,2,248
1484224437981310978,493,10271
1483967781867442176,0,475
1483966487878455297,2819,52316
1483929636723572737,12,1177
1483877862461476864,6,1493
1483877090990571523,7598,85595
1483522016749703169,6,277
1554866006673068033,0,409
1483515761964433410,4,114
1483514288257986561,87,0
1483511220053368834,0,179
1483245176222937088,95,3283
1483243958532595712,7036,99602
1483098384399486976,0,2
1482095205851570181,0,258
1482092056671666179,103,3862
1482092048329158659,1038,26842
1482035705698086912,289,0
1554865156701597707,1,564
1481714229451190273,0,22
1481708034954981379,15,152
1481706586619981835,206,0
1481702984857919490,0,6
1481433268104794112,1,587
1481429737696153601,12832,139687
1481359162663530497,0,9
1481016073466044416,0,34
1481005562703880200,0,6
1480971508973506569,0,95
1560660460147355650,355,7444
1554864279354019844,5,759
1480966567613640709,765,16435
1480761497089306625,0,297
1480730395645603842,1,162
1480730351781572612,5161,0
1480704578806960128,4,1637
1480704050299432960,16600,161846
1480686854949068803,0,1
1480666598788632576,300,0
1480590679277453319,0,13
1480588570721021953,192,0
1554863513847439362,3814,70759
1480337363649716228,7,1057
1480269061279797248,0,117
1479888873165524995,1,275
1479874753313656832,3076,48447
1479583845573877764,0,7
1479582207916269577,0,120
1479577454415126532,1,570
1479575038068199434,64,2497
1479575031718060037,932,21153
1479571896546971648,1,45
1554597356276006913,0,16
1479553218006892548,143,0
1479549661920645120,5,633
1479549193412702212,1203,17049
1479498224113119236,0,51
1479216140496748546,0,58
1479183403882795008,4898,77113
1478858261986115585,16843,0
1478855238199103488,17816,146561
1478788141926420481,0,88
1478785877941706753,0,104
1554593435188727808,0,242
1478785560340664321,1,179
1478785094206713856,196,3231
1478778648513499137,11,1157
1478778432267767808,223,0
1478533890503364608,1416,33412
1478527398865817610,26507,183119
1478524052385923072,0,3
1478450086476582914,3,90
1478444372081397764,7,337
1478444179030097920,342,0
1554592681363374081,0,299
1478416760567054338,2,939
1478416416894115842,4,920
1478413398324875269,5615,91717
1478060327950446592,1194,27595
1477091293675208709,11,1177
1476753447047286813,0,45
1476606618305384458,0,101
1476606539997728801,142,0
1476599039600709635,41824,133540
1476595727082016774,0,313
1554592589092888583,0,279
1476595492981141510,386,15283
1476368460758142976,0,45
1476362933579890690,0,262
1476362783218286592,0,82
1476362050485907456,534,14111
1476281572336668677,0,18
1476240572264316931,0,198
1476239919550926857,1277,10243
1475936547857780738,2,52
1475925258427273217,3,90
1554591606698917889,1,642
1475924237097394178,0,518
1475920366157504517,1566,41924
1475886158508793862,0,3
1475649674186952705,681,0
1475649629660188672,0,4
1475186312063893507,2,33
1475161352998203394,0,9
1474792505044611078,0,9
1474551847885189122,2,201
1474523470096654337,2,931
1554590994603065349,13124,201258
1474158411122106378,4,497
1474157764297564163,0,96
1474157720551018496,1,229
1474156615637028864,954,22908
1474072767729483777,1274,0
1474070507641360416,0,138
1474068121271033866,14163,137800
1473772439431700482,1,5
1473688097183383565,0,11
1473369541547859970,72,1351
1554231493735710720,2,536
1473361417550147584,26801,0
1473318819951165449,4,958
1473316462987292682,5708,72012
1472993339230281729,9737,140330
1472622525079195653,1019,0
1471942834810810368,0,61
1471942793295634433,70,0
1471939037388701699,54,1383
1471938839904092164,352,6779
1471897483974377472,1078,16043
1554230283905298432,1,352
1471887507574951937,0,74
1471638841228288005,1,704
1471638396812492803,12552,105863
1471538029961486339,0,5
1471295688017264640,6287,115326
1471202542465871875,201,0
1471165208697528321,25241,0
1470816793698742275,1,413
1470816714682036227,142,0
1470800909739331589,9,1130
1560392800776110086,0,5
1554229626062352384,0,388
1470568457024331776,0,135
1470567923479547904,4,1130
1470567788309729285,0,397
1470567153988374528,12468,147190
1470550442606137346,1,703
1470456963662184450,1,497
1470455831569129474,9243,119327
1470382350710153219,0,6
1470381470233423879,0,6
1469408059336409097,1,13
1554228732864466946,4211,83778
1469405224670539780,1,226
1469397245976002561,125,5061
1469397240578031618,892,22808
1468760145752510464,5,1594
1468751455200821257,8143,105724
1468640557027119105,0,95
1468636057197441025,3,168
1468631661550059521,1,372
1468631181973360642,0,13
1468630965253664775,0,321
1554168747048308737,0,16
1468629420684414976,2,850
1468629245513453569,44,2875
1468627382860861441,1,579
1468626675680169986,6406,63312
1468382755088060417,0,48
1468380978359930883,274,6904
1468288859624525825,2,607
1468285563153252354,8414,129727
1468279474022072324,0,27
1468026661106905092,2,330
1554144479493464064,1,463
1468025972653903874,3,336
1468024302171660290,5711,70123
1467893794565541893,1629,0
1467564425045417984,7,1301
1467204547739148289,3933,0
1467199261485850627,11964,154830
1467190057287106560,6,700
1466869220818309124,0,11
1466866300714905600,0,3
